Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BatteryHolder_Keystone_1060_1x2032","C70377"
"100n","C1","C0603","C14663"
"100n","C2","C0603","C14663"
"220n","C3","C0603","C21120"
"10n","C4","C0603","C100042"
"5.6n","C5","C0603","C170143"
"100n","C6","C0603","C14663"
"10u","C7","C_0805_2012Metric","C15850"
"10u","C8","C_0805_2012Metric","C15850"
"10u","C9","C_0805_2012Metric","C15850"
"10u","C10","C_0805_2012Metric","C15850"
"10u","C11","C_0805_2012Metric","C15850"
"10u","C12","C_0805_2012Metric","C15850"
"10u","C13","C_0805_2012Metric","C15850"
"10u","C14","C_0805_2012Metric","C15850"
"100n","C15","C0603","C14663"
"100n","C16","C0603","C14663"
"10u","C17","C0603","C19702"
"1N4148WS","D1","SOD-323","C2128"
"1N4148WS","D2","SOD-323","C2128"
"1N4148WS","D3","SOD-323","C2128"
"LED-GREEN-0805","D4","LED-0805","C2297"
"1N4148WS","D5","SOD-323","C2128"
"LED-GREEN-0805","D6","LED-0805","C2297"
"LED-GREEN-0805","D7","LED-0805","C2297"
"LED-GREEN-0805","D8","LED-0805","C2297"
"1N4148WS","D9","SOD-323","C2128"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"LOGO","G6","LOGO",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x01","J2","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J3","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J4","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J5","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J6","TestPoint_Pad_D2.0mm",""
"Conn_01x04","J7","PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x06","J8","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x04","J9","PinHeader_1x04_P2.54mm_Vertical",""
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"Module:can/0.1","M1","can",""
"Module:power5/0.2","M2","power5",""
"Module:mcu/0.1","M3","mcu",""
"Module:input/0.1","M4","input",""
"Module:knock/0.1","M5","knock",""
"Module:output/0.1","M6","output",""
"Module:ign8/0.1","M7","ign8",""
"Module:power12/0.1","M8","power12",""
"Module:wbo/0.1","M9","wbo",""
"Module:can/0.1","M10","can",""
"Module:vr/0.1","M11","vr",""
"Module:dinput4/0.1","M12","dinput4",""
"368255-2","P1","368255-2",""
"100","R1","R0603","C22775"
"Jumper-Pad-Pad","R2","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R3","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R4","PAD-0805-PAD"," C17477"
"100k","R5","R0603","C25803"
"2.7k","R6","R0603","C13167"
"2.7k","R7","R0603","C13167"
"Jumper-Pad-Pad","R8","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R9","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R10","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R13","PAD-0805-PAD"," C17477"
"DNP","R14","R1206",""
"DNP","R15","R1206",""
"4.7k","R16","R0603-4","C1980"
"470","R17","R0603-4","C25510"
"4.7k","R18","R0603","C23162"
"4.7k","R19","R0603","C23162"
"Button_SPST","S1","SMD-2_2.9x3.9x1.7","C115357"
"Button_SPST","S2","SMD-2_2.9x3.9x1.7","C115357"
"L6205PD","U1","SO20POWER","C36543"
"LPS25HB","U2","ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y","C87898"
"MCP6002-xSN","U3","SOIC-8_3.9x4.9mm_P1.27mm","C7377"
"Pad","V9","PAD-TH",""
"Pad","V10","PAD-TH",""
"Pad","V11","PAD-TH",""
"Pad","V12","PAD-TH",""
"Pad","V13","PAD-TH",""
"Pad","V14","PAD-TH",""
"Pad","V17","PAD-TH",""
"Pad","V20","PAD-TH",""
"Pad","V28","PAD-TH",""
"Pad","V40","PAD-TH",""
"Pad","V41","PAD-TH",""
"Pad","V43","PAD-TH",""
"Pad","V44","PAD-TH",""
"Pad","V45","PAD-TH",""
"Pad","V46","PAD-TH",""
"Pad","V48","PAD-TH",""
"Pad","V49","PAD-TH",""
"Pad","V56","PAD-TH",""
"Pad","V61","PAD-TH",""
"Pad","V63","PAD-TH",""
"Pad","V64","PAD-TH",""
"Pad","V66","PAD-TH",""
"Pad","V67","PAD-TH",""
"Pad","V68","PAD-TH",""
"Pad","V69","PAD-TH",""
"Pad","V74","PAD-TH",""
"Pad","V80","PAD-TH",""
"Pad","VIN1","PAD-TH",""
"Pad","VIN2","PAD-TH",""
"Pad","VIN3","PAD-TH",""
"Pad","VIN4","PAD-TH",""
"Pad","VOUT1","PAD-TH",""
"Pad","VOUT2","PAD-TH",""
"Pad","VOUT3","PAD-TH",""
