Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1, C2, C6, C15, C16, C430, C431, C420, C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C135, C139, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C470, C460, C461, C411, C413, C430_2, C431_2","C0603","C14663"
"220n","C3","C0603","C21120"
"10n","C4","C0603","C100042"
"5.6n","C5","C0603","C170143"
"10u","C7, C8, C9, C10, C11, C12, C13, C14, C425, C426, C300, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"10u","C17","C0603","C19702"
"1N4148WS","D1, D2, D3, D5, D9, D410, D412, D413, D414","SOD-323","C2128"
"LED-GREEN-0805","D4, D6, D7, D8","LED-0805","C2297"
"B5819W","D10, D11, D12, D13, D14, D101, D107, D300, D301, D302, D303, D416, D417","SOD-123","C8598"
"Fuse-Pad-Pad","F2","PAD-1206-PAD","C182446"
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"AudioJack_THR","J10","Jack_3.5mm_PJ-3250-5A","C165947"
"100","R1, R104, R106","R0603","C22775"
"Jumper-Pad-Pad","R2, R4, R9, R10, R11, R12, R13","PAD-0805-PAD","C17477"
"100k","R5, R471, R473","R0603","C25803"
"2.7k","R6, R7","R0603","C13167"
"5.1k","R16, R17, R132","R0603","C23186"
"4.7k","R18, R19, R302, R303, R307, R308, R313, R134","R0603","C23162"
"1.6k","R20","R0603","C22847"
"750","R21","R0603","C23241"
"10k","R22, R421, R102, R121, R127, R128, R300, R301, R315","R0603","C25804"
"0","R23, R310","R0603","C21189"
"Button_SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"MCP6002-xSN","U3","SO8","C7377"
"PESD1CAN","D430, D430_2","SOT-23","C343993"
"120","R430, R430_2","R0603","C22787"
"TJA1051T/3/1J","U430, U430_2","SO8","C38695"
"10u","C421, C422, C423, C424","C1206","C13585"
"4.7u","C427, C102, C103, C104, C137, C138, C140, C616","C0603","C19666"
"10n","C428, C201, C208, C209, C210, C211","C0603","C57112"
"220p","C429","C0603","C1603"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D206","SMB","C78395"
"1","R420","R0603","C22936"
"68k","R422","R0603","C23231"
"12k","R423, R472","R0603","C22790"
"2.2u","C114, C131","C0603","C23630"
"12p","C115, C116","C0603","C38523"
"18p","C132, C136","C0603","C1647"
"SRV05-4-P-T7","D102, D200, D201, D202, D203, D204, D205, U751","SOT23-6","C85364"
"LED-RED-0603","D103, D600, D603","LED-0603","C2286"
"LED-GREEN-0603","D104, D601, D751","LED-0603","C72043"
"LED-BLUE-0603","D105, D602","LED-0603","C72041"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"SDFL2012Q3R3KTF","L101","L0805","C51725"
"4.7k","R101, R107, R108, R109, R110, R111, R112, R113, R115, R117, R118, R125, R126","R0603-4","C66697"
"47","R114","R0603","C23182"
"510","R116, R119, R120, R124, R212, R213, R214, R215","R0603","C23193"
"2.2k","R122, R123","R0603","C4190"
"10k","R129, R130, R208, R210, R304, R305, R306, R491","R0603-4","C29718"
"AMS1117-3.3","U101","SOT-223","C6186"
"MCP6004","U102, U104, U106, U107, U108, U109, U600, U753","TSSOP14","C50282"
"XC6206P332MR","U111, U604","SOT-23","C5446"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"1n","C200, C202, C203, C216, C217, C218, C219, C490, C491, C492, C493","C0603","C1588"
"2.2u","C227, C228, C229","C0805","C49217"
"4.7k","R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"680k","R206, R209, R211, R490","R0603-4","C145776"
"3.3k","R216","R0603","C22978"
"3.3n","C471","C0603","C1613"
"330p","C472","C0603","C1664"
"47p","C473","C0603","C1671"
"680p","C474","C0603","C1630"
"470k","R470","R0603","C23178"
"33k","R474, R411","R0603","C4216"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"PSM712-LF","D304, D305, D411","SOT-23","C32677"
"PJM2319PSA","Q300, Q301, Q302, Q303, Q304, Q313, Q314","SOT-23","C411720"
"RZ7899","U300, U303","SO8","C92373"
"ULN2003AD","U301, U304","SOIC16","C7512"
"TC4427","U302","SO8","C20551"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0603","C22859"
"47u","C410, C412","C1206","C96123"
"SMCJ30A","D418","SMC","C310046"
"6.8k","R410, R413","R0603","C23212"
"1u","C600, C607, C609, C610, C611, C755, C758, C761, C762, C763, C765, C766, C767","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C753, C754, C759","C0402","C1525"
"33n","C603","C0402","C1585"
"VNP28N04-E","Q601","TO-220-3_Vertical","C263002"
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R765, R766","R0402","C11702"
"68k","R602, R603, R760","R0402","C36871"
"10k","R604, R605, R613, R614, R618, R619, R625, R757, R762, R763, R767, R768","R0402","C25744"
"10","R606, R761, R764, R769","R0402","C25077"
"22k","R607","R0402","C25768"
"47","R608","R0402","C25118"
"61.9","R609","R0603","C23092"
"20k","R610, R611, R612","R0402","C25765"
"100k","R615, R621, R755, R756, R758, R759","R0402","C25741"
"27k","R620, R623","R0402","C25771"
"3.3k","R624","R0402","C25890"
"AD8628","U601","TSOT23-5","C29309"
"REF3033","U603","SOT-23","C36658"
"1n","C751","C0402","C1523"
"470n","C752","C0402","C47339"
"10n","C756, C757, C760, C764","C0402","C15195"
"2.2k","R751","R0402","C25879"
"10k","R752, R753","R0805","C17414"
"12k","R754","R0402","C25752"
"74AHC1G02","U752, U757","SOT23-5","C7463"
"MAX9142","U754","SO8","C18567"
"NC7SB3157P6X","U755, U756","SOT-363","C87403"
"74HC2G17GW","U490, U491","SOT-363","C94189"
"STM32F429IGT6 ","U105","LQFP176","C54328"
"MWSA0503S-100MT","L421","SMD-5.2x5.4x2.8","C408412"
"LBC3225T2R2MR","L420","1210","C223413"
"AP2331W-7","U103, U480","SOT-23","C460346"
"LMR14030","U420","SOP8","C182078"
"LP2981-33DBVR","U410","SOT-23-5","C129997"
"ZXMS6005SGTA","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C174042"
"nSMD050-24V","F410, F300","F1206","C70076"
"74LVC4245APW,118","U460","TSSOP-24","C6091"
"620","R133","R0603","C23220"
